Input n,Comparisons,CPU Time (s)
1000,13161,0.000289
5000,67103,0.001509
10000,143690,0.003813
50000,880549,0.014948
100000,1861290,0.023297
500000,11095299,0.101191
1000000,23189667,0.210455
5000000,116151000,1.179471
10000000,242318313,2.468842
